road_segment_id,timestamp,avg_speed,flow,occupancy,congestion_index,rain_intensity,time_of_day_sin,time_of_day_cos,label
S1,2023-01-01 08:00:00,80.0,320,0.3,0.25,0.0,0.951,0.309,0
S1,2023-01-01 08:15:00,78.0,330,0.32,0.27,0.0,0.945,0.326,0
S1,2023-01-01 08:30:00,76.0,340,0.35,0.30,0.0,0.939,0.344,0
S1,2023-01-01 08:45:00,75.0,350,0.38,0.32,0.0,0.932,0.362,0
S1,2023-01-01 09:00:00,70.0,370,0.45,0.40,0.2,0.951,0.309,0
S1,2023-01-01 09:15:00,60.0,400,0.55,0.50,0.5,0.945,0.326,1
S1,2023-01-01 09:30:00,50.0,420,0.65,0.60,0.8,0.939,0.344,1
S1,2023-01-01 09:45:00,45.0,430,0.72,0.68,0.9,0.932,0.362,1
S1,2023-01-01 10:00:00,40.0,440,0.78,0.75,1.0,0.951,0.309,1
S1,2023-01-01 10:15:00,42.0,435,0.76,0.72,0.9,0.945,0.326,1
S1,2023-01-01 10:30:00,48.0,410,0.68,0.62,0.7,0.939,0.344,1
S1,2023-01-01 10:45:00,58.0,380,0.55,0.50,0.3,0.932,0.362,0
S1,2023-01-01 11:00:00,65.0,360,0.48,0.42,0.1,0.951,0.309,0
S1,2023-01-01 11:15:00,72.0,340,0.40,0.35,0.0,0.945,0.326,0
S1,2023-01-01 11:30:00,78.0,320,0.32,0.28,0.0,0.939,0.344,0
S1,2023-01-01 11:45:00,82.0,310,0.28,0.24,0.0,0.932,0.362,0
S2,2023-01-01 22:00:00,25.0,150,0.7,0.65,0.0,-0.951,0.309,1
S2,2023-01-01 22:15:00,23.0,160,0.72,0.68,0.0,-0.945,0.326,1
S2,2023-01-01 22:30:00,20.0,180,0.8,0.75,0.2,-0.939,0.344,1
S2,2023-01-01 22:45:00,18.0,200,0.88,0.85,0.5,-0.932,0.362,1
S2,2023-01-01 23:00:00,15.0,220,0.92,0.90,0.8,-0.951,0.309,1
S2,2023-01-01 23:15:00,14.0,230,0.94,0.92,1.0,-0.945,0.326,1
S2,2023-01-01 23:30:00,16.0,210,0.90,0.88,0.9,-0.939,0.344,1
S2,2023-01-01 23:45:00,18.0,200,0.85,0.82,0.6,-0.932,0.362,1
S2,2023-01-02 00:00:00,20.0,190,0.80,0.75,0.3,-0.951,0.309,1
S2,2023-01-02 00:15:00,22.0,180,0.75,0.70,0.1,-0.945,0.326,0
S2,2023-01-02 00:30:00,25.0,170,0.68,0.62,0.0,-0.939,0.344,0
S2,2023-01-02 00:45:00,28.0,160,0.60,0.55,0.0,-0.932,0.362,0
S3,2023-01-02 06:00:00,35.0,200,0.4,0.35,0.2,0.500,0.866,0
S3,2023-01-02 06:15:00,33.0,210,0.42,0.38,0.3,0.507,0.862,0
S3,2023-01-02 06:30:00,30.0,225,0.48,0.44,0.5,0.515,0.857,1
S3,2023-01-02 06:45:00,25.0,250,0.58,0.54,0.8,0.522,0.853,1
S3,2023-01-02 07:00:00,22.0,280,0.68,0.64,1.0,0.530,0.848,1
S3,2023-01-02 07:15:00,20.0,300,0.76,0.72,1.0,0.537,0.844,1
S3,2023-01-02 07:30:00,24.0,270,0.68,0.64,0.8,0.545,0.839,1
S3,2023-01-02 07:45:00,32.0,240,0.56,0.52,0.4,0.552,0.834,0
S3,2023-01-02 08:00:00,40.0,200,0.40,0.35,0.0,0.560,0.828,0
S3,2023-01-02 08:15:00,48.0,180,0.32,0.28,0.0,0.567,0.824,0
S1,2023-01-02 12:00:00,88.0,290,0.25,0.20,0.0,0.951,0.309,0
S1,2023-01-02 12:15:00,86.0,300,0.28,0.23,0.0,0.945,0.326,0
S1,2023-01-02 12:30:00,84.0,310,0.30,0.25,0.0,0.939,0.344,0
S1,2023-01-02 12:45:00,82.0,320,0.32,0.27,0.0,0.932,0.362,0
S1,2023-01-02 13:00:00,80.0,330,0.35,0.30,0.1,0.951,0.309,0
S1,2023-01-02 13:15:00,75.0,350,0.42,0.37,0.3,0.945,0.326,0
S1,2023-01-02 13:30:00,65.0,380,0.55,0.50,0.6,0.939,0.344,1
S1,2023-01-02 13:45:00,55.0,410,0.68,0.62,0.9,0.932,0.362,1

