road_segment_id,timestamp,weather,light_condition,road_type,surface_condition,avg_speed_current,congestion_index_current,historical_accident_rate_segment,lstm_risk_score,severity
S1,2023-01-01 08:00:00,Clear,Day,Highway,Dry,80.0,0.2,0.05,0.3,0
S1,2023-01-01 09:00:00,Rain,Day,Highway,Wet,45.0,0.6,0.05,0.7,1
S1,2023-01-01 10:00:00,Rain,Day,Highway,Wet,35.0,0.8,0.05,0.85,2
S1,2023-01-01 11:00:00,Clear,Day,Highway,Wet,55.0,0.5,0.05,0.5,1
S1,2023-01-01 12:00:00,Clear,Day,Highway,Dry,75.0,0.3,0.05,0.4,0
S2,2023-01-01 08:00:00,Clear,Night,Urban,Dry,30.0,0.7,0.15,0.6,1
S2,2023-01-01 09:00:00,Clear,Night,Urban,Dry,25.0,0.8,0.15,0.75,2
S2,2023-01-01 10:00:00,Rain,Night,Urban,Wet,15.0,0.9,0.15,0.95,3
S2,2023-01-01 11:00:00,Rain,Night,Urban,Wet,20.0,0.85,0.15,0.9,3
S2,2023-01-01 12:00:00,Clear,Day,Urban,Wet,35.0,0.6,0.15,0.65,1
S3,2023-01-01 08:00:00,Snow,Day,Rural,Snow,40.0,0.4,0.08,0.5,1
S3,2023-01-01 09:00:00,Snow,Day,Rural,Snow,30.0,0.5,0.08,0.65,2
S3,2023-01-01 10:00:00,Snow,Night,Rural,Snow,25.0,0.6,0.08,0.8,3
S3,2023-01-01 11:00:00,Snow,Night,Rural,Snow,20.0,0.7,0.08,0.85,3
S3,2023-01-01 12:00:00,Clear,Night,Rural,Dry,50.0,0.3,0.08,0.4,0
S1,2023-01-02 08:00:00,Clear,Day,Highway,Dry,85.0,0.15,0.05,0.25,0
S1,2023-01-02 09:00:00,Clear,Day,Highway,Dry,82.0,0.18,0.05,0.28,0
S1,2023-01-02 10:00:00,Clear,Day,Highway,Dry,80.0,0.2,0.05,0.3,0
S1,2023-01-02 11:00:00,Clear,Day,Highway,Dry,78.0,0.22,0.05,0.32,0
S1,2023-01-02 12:00:00,Rain,Day,Highway,Wet,50.0,0.55,0.05,0.68,1
S2,2023-01-02 08:00:00,Rain,Night,Urban,Wet,18.0,0.88,0.15,0.92,3
S2,2023-01-02 09:00:00,Rain,Night,Urban,Wet,16.0,0.91,0.15,0.95,3
S2,2023-01-02 10:00:00,Rain,Night,Urban,Wet,14.0,0.93,0.15,0.97,3
S2,2023-01-02 11:00:00,Clear,Day,Urban,Dry,40.0,0.5,0.15,0.55,1
S2,2023-01-02 12:00:00,Clear,Day,Urban,Dry,38.0,0.52,0.15,0.57,1
S3,2023-01-02 08:00:00,Clear,Day,Rural,Dry,55.0,0.25,0.08,0.35,0
S3,2023-01-02 09:00:00,Clear,Day,Rural,Dry,58.0,0.22,0.08,0.32,0
S3,2023-01-02 10:00:00,Snow,Day,Rural,Snow,35.0,0.45,0.08,0.52,1
S3,2023-01-02 11:00:00,Snow,Day,Rural,Snow,25.0,0.62,0.08,0.72,2
S3,2023-01-02 12:00:00,Snow,Night,Rural,Snow,18.0,0.78,0.08,0.88,3
S1,2023-01-03 08:00:00,Clear,Day,Highway,Dry,88.0,0.1,0.05,0.2,0
S1,2023-01-03 09:00:00,Clear,Day,Highway,Dry,86.0,0.12,0.05,0.22,0
S1,2023-01-03 10:00:00,Fog,Day,Highway,Dry,65.0,0.35,0.05,0.45,0
S1,2023-01-03 11:00:00,Fog,Day,Highway,Dry,60.0,0.42,0.05,0.52,1
S1,2023-01-03 12:00:00,Clear,Day,Highway,Dry,75.0,0.28,0.05,0.38,0
S2,2023-01-03 08:00:00,Clear,Day,Urban,Dry,32.0,0.65,0.15,0.62,1
S2,2023-01-03 09:00:00,Clear,Day,Urban,Dry,28.0,0.73,0.15,0.73,2
S2,2023-01-03 10:00:00,Rain,Day,Urban,Wet,18.0,0.87,0.15,0.91,3
S2,2023-01-03 11:00:00,Rain,Day,Urban,Wet,16.0,0.89,0.15,0.93,3
S2,2023-01-03 12:00:00,Rain,Night,Urban,Wet,14.0,0.92,0.15,0.96,3
S3,2023-01-03 08:00:00,Clear,Day,Rural,Dry,60.0,0.2,0.08,0.3,0
S3,2023-01-03 09:00:00,Clear,Day,Rural,Dry,62.0,0.18,0.08,0.28,0
S3,2023-01-03 10:00:00,Snow,Day,Rural,Snow,32.0,0.48,0.08,0.56,2
S3,2023-01-03 11:00:00,Snow,Day,Rural,Snow,22.0,0.72,0.08,0.82,3
S3,2023-01-03 12:00:00,Snow,Night,Rural,Snow,16.0,0.81,0.08,0.91,3
S1,2023-01-04 08:00:00,Rain,Day,Highway,Wet,48.0,0.58,0.05,0.72,1
S1,2023-01-04 09:00:00,Rain,Day,Highway,Wet,42.0,0.65,0.05,0.78,2
S1,2023-01-04 10:00:00,Rain,Day,Highway,Wet,38.0,0.72,0.05,0.84,2
S1,2023-01-04 11:00:00,Rain,Night,Highway,Wet,32.0,0.8,0.05,0.9,3
S1,2023-01-04 12:00:00,Clear,Night,Highway,Dry,70.0,0.35,0.05,0.48,1
S2,2023-01-04 08:00:00,Clear,Night,Urban,Dry,28.0,0.75,0.15,0.78,2
S2,2023-01-04 09:00:00,Clear,Night,Urban,Dry,25.0,0.82,0.15,0.85,2
S2,2023-01-04 10:00:00,Rain,Night,Urban,Wet,12.0,0.95,0.15,0.98,3
S2,2023-01-04 11:00:00,Fog,Night,Urban,Wet,10.0,0.98,0.15,0.99,3
